,city_state,year,december_reviews_count
0,"Portland, OR",2010,6
1,"Portland, OR",2011,12
2,"Portland, OR",2012,55
3,"Portland, OR",2013,203
4,"Portland, OR",2014,429
5,"Portland, OR",2015,904
6,"Portland, OR",2016,1620
7,"Portland, OR",2017,2657
8,"Portland, OR",2018,4120
9,"Portland, OR",2019,5050
10,"Portland, OR",2020,3118
11,"Portland, OR",2021,2731
12,"San Diego, CA",2010,5
13,"San Diego, CA",2011,13
14,"San Diego, CA",2012,67
15,"San Diego, CA",2013,199
16,"San Diego, CA",2014,487
17,"San Diego, CA",2015,1125
18,"San Diego, CA",2016,2172
19,"San Diego, CA",2017,3416
20,"San Diego, CA",2018,5920
21,"San Diego, CA",2019,7960
22,"San Diego, CA",2020,6838
23,"San Diego, CA",2021,5081
